State,County,FIPS,MapDate,DSCI
GA,Tift County,13277,20081230,0
GA,Tift County,13277,20090106,0
GA,Tift County,13277,20090113,0
GA,Tift County,13277,20090120,0
GA,Tift County,13277,20090127,0
GA,Tift County,13277,20090203,0
GA,Tift County,13277,20090210,100
GA,Tift County,13277,20090217,100
GA,Tift County,13277,20090224,178
GA,Tift County,13277,20090303,178
GA,Tift County,13277,20090310,178
GA,Tift County,13277,20090317,178
GA,Tift County,13277,20090324,178
GA,Tift County,13277,20090331,0
GA,Tift County,13277,20090407,0
GA,Tift County,13277,20090414,0
GA,Tift County,13277,20090421,0
GA,Tift County,13277,20090428,0
GA,Tift County,13277,20090505,0
GA,Tift County,13277,20090512,0
GA,Tift County,13277,20090519,0
GA,Tift County,13277,20090526,0
GA,Tift County,13277,20090602,0
GA,Tift County,13277,20090609,0
GA,Tift County,13277,20090616,0
GA,Tift County,13277,20090623,0
GA,Tift County,13277,20090630,0
GA,Tift County,13277,20090707,0
GA,Tift County,13277,20090714,0
GA,Tift County,13277,20090721,0
GA,Tift County,13277,20090728,0
GA,Tift County,13277,20090804,0
GA,Tift County,13277,20090811,0
GA,Tift County,13277,20090818,0
GA,Tift County,13277,20090825,0
GA,Tift County,13277,20090901,0
GA,Tift County,13277,20090908,0
GA,Tift County,13277,20090915,0
GA,Tift County,13277,20090922,0
GA,Tift County,13277,20090929,0
GA,Tift County,13277,20091006,0
GA,Tift County,13277,20091013,0
GA,Tift County,13277,20091020,0
GA,Tift County,13277,20091027,0
GA,Tift County,13277,20091103,0
GA,Tift County,13277,20091110,0
GA,Tift County,13277,20091117,0
GA,Tift County,13277,20091124,0
GA,Tift County,13277,20091201,0
GA,Tift County,13277,20091208,0
GA,Tift County,13277,20091215,0
GA,Tift County,13277,20091222,0
GA,Tift County,13277,20091229,0
GA,Tift County,13277,20100105,0
GA,Tift County,13277,20100112,0
GA,Tift County,13277,20100119,0
GA,Tift County,13277,20100126,0
GA,Tift County,13277,20100202,0
GA,Tift County,13277,20100209,0
GA,Tift County,13277,20100216,0
GA,Tift County,13277,20100223,0
GA,Tift County,13277,20100302,0
GA,Tift County,13277,20100309,0
GA,Tift County,13277,20100316,0
GA,Tift County,13277,20100323,0
GA,Tift County,13277,20100330,0
GA,Tift County,13277,20100406,0
GA,Tift County,13277,20100413,0
GA,Tift County,13277,20100420,0
GA,Tift County,13277,20100427,0
GA,Tift County,13277,20100504,0
GA,Tift County,13277,20100511,0
GA,Tift County,13277,20100518,0
GA,Tift County,13277,20100525,0
GA,Tift County,13277,20100601,0
GA,Tift County,13277,20100608,0
GA,Tift County,13277,20100615,0
GA,Tift County,13277,20100622,0
GA,Tift County,13277,20100629,0
GA,Tift County,13277,20100706,0
GA,Tift County,13277,20100713,0
GA,Tift County,13277,20100720,0
GA,Tift County,13277,20100727,0
GA,Tift County,13277,20100803,0
GA,Tift County,13277,20100810,86
GA,Tift County,13277,20100817,100
GA,Tift County,13277,20100824,100
GA,Tift County,13277,20100831,100
GA,Tift County,13277,20100907,100
GA,Tift County,13277,20100914,200
GA,Tift County,13277,20100921,200
GA,Tift County,13277,20100928,200
GA,Tift County,13277,20101005,200
GA,Tift County,13277,20101012,200
GA,Tift County,13277,20101019,200
GA,Tift County,13277,20101026,200
GA,Tift County,13277,20101102,243
GA,Tift County,13277,20101109,243
GA,Tift County,13277,20101116,226
GA,Tift County,13277,20101123,300
GA,Tift County,13277,20101130,300
GA,Tift County,13277,20101207,300
GA,Tift County,13277,20101214,300
GA,Tift County,13277,20101221,300
GA,Tift County,13277,20101228,300
GA,Tift County,13277,20110104,300
GA,Tift County,13277,20110111,300
GA,Tift County,13277,20110118,300
GA,Tift County,13277,20110125,300
GA,Tift County,13277,20110201,300
GA,Tift County,13277,20110208,200
GA,Tift County,13277,20110215,200
GA,Tift County,13277,20110222,200
GA,Tift County,13277,20110301,200
GA,Tift County,13277,20110308,200
GA,Tift County,13277,20110315,200
GA,Tift County,13277,20110322,200
GA,Tift County,13277,20110329,300
GA,Tift County,13277,20110405,226
GA,Tift County,13277,20110412,218
GA,Tift County,13277,20110419,218
GA,Tift County,13277,20110426,218
GA,Tift County,13277,20110503,218
GA,Tift County,13277,20110510,300
GA,Tift County,13277,20110517,300
GA,Tift County,13277,20110524,300
GA,Tift County,13277,20110531,400
GA,Tift County,13277,20110607,400
GA,Tift County,13277,20110614,404
GA,Tift County,13277,20110621,500
GA,Tift County,13277,20110628,500
GA,Tift County,13277,20110705,500
GA,Tift County,13277,20110712,500
GA,Tift County,13277,20110719,400
GA,Tift County,13277,20110726,400
GA,Tift County,13277,20110802,400
GA,Tift County,13277,20110809,400
GA,Tift County,13277,20110816,300
GA,Tift County,13277,20110823,300
GA,Tift County,13277,20110830,400
GA,Tift County,13277,20110906,400
GA,Tift County,13277,20110913,400
GA,Tift County,13277,20110920,400
GA,Tift County,13277,20110927,400
GA,Tift County,13277,20111004,400
GA,Tift County,13277,20111011,400
GA,Tift County,13277,20111018,400
GA,Tift County,13277,20111025,400
GA,Tift County,13277,20111101,400
GA,Tift County,13277,20111108,400
GA,Tift County,13277,20111115,400
GA,Tift County,13277,20111122,400
GA,Tift County,13277,20111129,400
GA,Tift County,13277,20111206,400
GA,Tift County,13277,20111213,400
GA,Tift County,13277,20111220,400
GA,Tift County,13277,20111227,400
GA,Tift County,13277,20120103,400
