Site Id,Date,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) 
2027,2000-01-01,4.6,16.3,22.6,7.5,14.7,1.8,4.6,7.3,17.4,25.2,13.3,13.7,13.3,12.6,14.3,0.0,0.1,0.1,0.1,0.1,3.3,4.2,5.3,10.51,15.6,12.75,3.16,184.0,2.3
2027,2000-01-02,4.7,13.2,22.9,12.3,16.8,2.2,6.8,8.1,17.1,24.9,12.6,14.0,14.2,13.8,14.6,0.1,0.0,0.0,0.1,0.1,3.4,5.1,5.7,10.28,15.4,12.74,3.16,144.0,2.5
2027,2000-01-03,4.7,15.1,25.7,9.7,17.0,1.0,5.5,7.0,16.7,24.6,13.5,14.8,15.0,14.4,14.9,0.1,0.1,0.1,0.1,0.1,3.0,4.6,5.2,10.07,15.18,12.72,3.16,180.0,2.1
2027,2000-01-04,4.7,16.9,26.0,12.2,19.0,0.8,5.9,8.0,16.9,25.1,14.8,15.6,15.6,15.1,15.3,0.1,0.0,0.0,0.1,0.1,2.9,4.8,5.6,10.19,15.53,12.73,3.16,179.0,3.8
2027,2000-01-05,5.0,10.1,23.8,10.0,17.5,3.0,7.8,9.6,16.5,24.9,11.1,13.5,14.7,15.6,15.6,0.1,0.1,0.1,0.1,0.1,3.7,5.5,6.4,9.98,15.42,12.51,3.16,234.0,6.9
2027,2000-01-06,5.0,4.9,12.8,3.6,7.4,2.0,6.6,9.2,17.0,25.3,7.5,10.0,11.5,14.2,15.8,0.1,0.1,0.1,0.1,0.1,3.3,5.0,6.2,10.26,15.71,12.72,3.16,19.0,6.0
2027,2000-01-07,5.0,10.6,10.9,1.1,7.2,1.8,6.2,,16.8,24.8,10.0,10.7,10.9,12.9,15.5,0.1,0.1,0.1,0.1,0.1,3.3,4.9,5.5,10.13,15.36,12.52,3.16,51.0,4.1
2027,2000-01-08,5.0,5.6,18.6,5.1,12.2,2.8,6.7,8.6,16.6,25.1,8.9,11.0,12.0,13.4,15.2,0.0,0.0,0.1,0.1,0.1,3.6,5.1,5.9,10.03,15.58,12.7,3.16,3.0,4.7
2027,2000-01-09,5.0,10.6,18.0,3.2,11.0,2.2,5.6,8.4,17.1,24.6,10.7,12.1,12.5,13.2,15.1,0.0,0.1,0.1,0.1,0.1,3.4,4.6,5.8,10.31,15.21,12.72,3.16,78.0,2.3
2027,2000-01-10,5.0,18.7,21.7,10.1,15.9,1.4,6.4,8.1,16.8,24.5,15.9,15.6,14.8,13.9,15.1,0.1,0.0,0.1,0.1,0.1,3.1,5.0,5.7,10.11,15.14,12.66,3.16,180.0,4.9
