

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:41 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,PRES.I-1 (inch) ,
2027,2000-01-01,,    4.60,-99.9,    16.3,    22.6,-99.9,     7.5,-99.9,    14.7,-99.9,     1.8,     4.6,     7.3,    17.4,    25.2,    13.3,    13.7,    13.3,    12.6,    14.3,     0.0,     0.1,     0.1,     0.1,     0.1,    3.30,    4.20,    5.30,   10.51,   15.60,   12.75,    3.16,-99.9,     184,     2.3,   29.78,
2027,2000-01-02,,    4.70,-99.9,    13.2,    22.9,-99.9,    12.3,-99.9,    16.8,-99.9,     2.2,     6.8,     8.1,    17.1,    24.9,    12.6,    14.0,    14.2,    13.8,    14.6,     0.1,     0.0,     0.0,     0.1,     0.1,    3.40,    5.10,    5.70,   10.28,   15.40,   12.74,    3.16,-99.9,     144,     2.5,   29.86,
2027,2000-01-03,,    4.70,-99.9,    15.1,    25.7,-99.9,     9.7,-99.9,    17.0,-99.9,     1.0,     5.5,     7.0,    16.7,    24.6,    13.5,    14.8,    15.0,    14.4,    14.9,     0.1,     0.1,     0.1,     0.1,     0.1,    3.00,    4.60,    5.20,   10.07,   15.18,   12.72,    3.16,-99.9,     180,     2.1,   29.82,
2027,2000-01-04,,    4.70,-99.9,    16.9,    26.0,-99.9,    12.2,-99.9,    19.0,-99.9,     0.8,     5.9,     8.0,    16.9,    25.1,    14.8,    15.6,    15.6,    15.1,    15.3,     0.1,     0.0,     0.0,     0.1,     0.1,    2.90,    4.80,    5.60,   10.19,   15.53,   12.73,    3.16,-99.9,     179,     3.8,   29.71,
2027,2000-01-05,,    5.00,-99.9,    10.1,    23.8,-99.9,    10.0,-99.9,    17.5,-99.9,     3.0,     7.8,     9.6,    16.5,    24.9,    11.1,    13.5,    14.7,    15.6,    15.6,     0.1,     0.1,     0.1,     0.1,     0.1,    3.70,    5.50,    6.40,    9.98,   15.42,   12.51,    3.16,-99.9,     234,     6.9,   29.80,
2027,2000-01-06,,    5.00,-99.9,     4.9,    12.8,-99.9,     3.6,-99.9,     7.4,-99.9,     2.0,     6.6,     9.2,    17.0,    25.3,     7.5,    10.0,    11.5,    14.2,    15.8,     0.1,     0.1,     0.1,     0.1,     0.1,    3.30,    5.00,    6.20,   10.26,   15.71,   12.72,    3.16,-99.9,      19,     6.0,   30.00,
2027,2000-01-07,,    5.00,-99.9,    10.6,    10.9,-99.9,     1.1,-99.9,     7.2,-99.9,     1.8,     6.2,-99.9,    16.8,    24.8,    10.0,    10.7,    10.9,    12.9,    15.5,     0.1,     0.1,     0.1,     0.1,     0.1,    3.30,    4.90,    5.50,   10.13,   15.36,   12.52,    3.16,-99.9,      51,     4.1,   29.98,
2027,2000-01-08,,    5.00,-99.9,     5.6,    18.6,-99.9,     5.1,-99.9,    12.2,-99.9,     2.8,     6.7,     8.6,    16.6,    25.1,     8.9,    11.0,    12.0,    13.4,    15.2,     0.0,     0.0,     0.1,     0.1,     0.1,    3.60,    5.10,    5.90,   10.03,   15.58,   12.70,    3.16,-99.9,       3,     4.7,   29.95,
2027,2000-01-09,,    5.00,-99.9,    10.6,    18.0,-99.9,     3.2,-99.9,    11.0,-99.9,     2.2,     5.6,     8.4,    17.1,    24.6,    10.7,    12.1,    12.5,    13.2,    15.1,     0.0,     0.1,     0.1,     0.1,     0.1,    3.40,    4.60,    5.80,   10.31,   15.21,   12.72,    3.16,-99.9,      78,     2.3,   29.80,
2027,2000-01-10,,    5.00,-99.9,    18.7,    21.7,-99.9,    10.1,-99.9,    15.9,-99.9,     1.4,     6.4,     8.1,    16.8,    24.5,    15.9,    15.6,    14.8,    13.9,    15.1,     0.1,     0.0,     0.1,     0.1,     0.1,    3.10,    5.00,    5.70,   10.11,   15.14,   12.66,    3.16,-99.9,     180,     4.9,   29.59,
2027,2000-01-11,,    5.60,-99.9,     7.4,    22.0,-99.9,     6.5,-99.9,    17.3,-99.9,     3.4,     9.5,    12.0,    17.8,    25.0,    11.0,    13.2,    14.3,    15.1,    15.3,     0.1,     0.0,     0.1,     0.1,     0.1,    3.80,    6.30,    7.50,   10.70,   15.48,   12.68,    3.16,-99.9,     249,     5.2,   29.69,
2027,2000-01-12,,    5.60,-99.9,    10.0,    24.5,-99.9,     4.5,-99.9,    13.1,-99.9,     3.7,     8.5,    10.8,    18.1,    24.9,    10.8,    12.7,    13.6,    14.6,    15.5,     0.0,     0.0,     0.1,     0.1,     0.1,    3.90,    5.90,    6.90,   10.90,   15.42,   12.74,    3.17,-99.9,     237,     2.4,   29.84,
2027,2000-01-13,,    5.60,-99.9,     8.7,    22.6,-99.9,     7.2,-99.9,    13.6,-99.9,     2.6,     7.9,    10.3,    17.9,    25.3,    11.0,    13.1,    13.9,    14.6,    15.5,     0.1,     0.0,     0.1,     0.1,     0.1,    3.50,    5.60,    6.70,   10.77,   15.73,   12.71,    3.16,-99.9,     199,     1.7,   29.85,
2027,2000-01-14,,    5.80,-99.9,    12.2,    23.3,-99.9,     6.4,-99.9,    14.8,-99.9,     3.1,     7.4,    10.5,    17.4,    25.4,    10.7,    13.3,    14.2,    14.6,    15.6,     0.0,     0.1,     0.0,     0.1,     0.1,    3.70,    5.40,    6.80,   10.49,   15.78,   12.68,    3.16,-99.9,     267,     4.1,   30.01,
2027,2000-01-15,,    5.80,-99.9,     0.4,    12.1,-99.9,     0.2,-99.9,     6.6,-99.9,     1.6,     6.6,     9.6,    17.9,    25.1,     6.3,     8.9,    10.5,    13.5,    15.5,     0.1,     0.1,     0.1,     0.1,     0.1,    3.20,    5.00,    6.40,   10.80,   15.54,   12.72,    3.16,-99.9,      14,     8.4,   30.32,
2027,2000-01-16,,    5.80,-99.9,     4.3,    15.6,-99.9,    -1.4,-99.9,     5.7,-99.9,     1.9,     7.0,     9.7,    17.9,    25.6,     6.6,     8.8,    10.0,    12.6,    15.2,     0.1,     0.0,     0.0,     0.1,     0.1,    3.30,    5.20,    6.40,   10.77,   15.90,   12.75,    3.17,-99.9,     106,     2.5,   30.20,
2027,2000-01-17,,    5.80,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2027,2000-01-18,,    5.80,-99.9,    15.1,    19.1,-99.9,    11.5,-99.9,    14.8,-99.9,     2.3,     6.4,     8.9,    17.7,    25.3,    13.5,    14.0,    13.6,    13.3,    14.7,     0.0,     0.0,     0.0,     0.1,     0.1,    3.40,    5.00,    6.00,   10.69,   15.71,   12.65,    3.16,-99.9,     269,     2.4,   29.87,
2027,2000-01-19,,    5.80,-99.9,    16.5,    22.9,-99.9,    12.1,-99.9,    16.9,-99.9,     0.9,     5.8,     9.0,    17.4,    25.2,    14.6,    15.1,    14.8,    14.1,    14.9,     0.1,     0.0,     0.0,     0.1,     0.1,    3.00,    4.70,    6.10,   10.49,   15.64,   12.62,    3.16,-99.9,     256,     4.6,   29.68,
2027,2000-01-20,,    5.80,-99.9,    14.4,    16.7,-99.9,     9.4,-99.9,    12.4,-99.9,     2.5,     5.6,     7.7,    17.4,    25.1,    12.4,    13.1,    13.2,    14.0,    15.1,     0.0,     0.1,     0.1,     0.1,     0.1,    3.50,    4.60,    5.50,   10.50,   15.56,   12.44,    3.17,-99.9,     223,     3.6,   29.44,
2027,2000-01-21,,    5.80,-99.9,     5.0,    18.8,-99.9,     5.0,-99.9,    13.1,-99.9,     0.9,     6.2,     7.9,    17.0,    24.9,     8.3,    11.0,    12.4,    14.2,    15.2,     0.1,     0.0,     0.0,     0.1,     0.1,    3.00,    4.90,    5.60,   10.23,   15.42,   12.72,    3.16,-99.9,     305,    12.3,   29.71,
2027,2000-01-22,,    5.80,-99.9,    -0.6,    10.0,-99.9,    -1.2,-99.9,     3.7,-99.9,     0.0,     5.5,     7.3,    17.1,    24.8,     6.1,     8.7,    10.2,    12.9,    15.1,     0.1,     0.0,     0.1,     0.1,     0.1,    2.60,    4.60,    5.30,   10.30,   15.31,   12.72,    3.17,-99.9,     336,     7.8,   29.82,
2027,2000-01-23,,    5.80,-99.9,     6.2,    13.0,-99.9,    -2.0,-99.9,     5.6,-99.9,     1.1,     5.9,     8.0,    16.8,    24.8,     8.6,    10.1,    10.6,    12.2,    14.8,     0.0,     0.0,     0.0,     0.1,     0.1,    3.00,    4.80,    5.70,   10.11,   15.36,   12.74,    3.17,-99.9,     113,     2.6,   29.68,
2027,2000-01-24,,    6.60,-99.9,    13.2,    15.8,-99.9,     5.1,-99.9,    11.9,-99.9,     6.2,    10.1,    14.2,    17.6,    25.0,    12.0,    12.3,    12.0,    12.4,    14.5,     0.0,     0.0,     0.0,     0.1,     0.1,    4.90,    6.60,    8.70,   10.58,   15.52,   12.47,    3.17,-99.9,     156,     4.1,   29.53,
2027,2000-01-25,,    7.40,-99.9,     2.6,    13.3,-99.9,     2.5,-99.9,     6.2,-99.9,     4.6,     9.1,    13.2,    20.9,    26.1,     5.3,     7.5,     8.8,    11.7,    14.4,     0.1,     0.1,     0.0,     0.1,     0.1,    4.30,    6.10,    8.10,   12.65,   16.28,   12.24,    3.17,-99.9,     354,    11.1,   29.50,
