

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:57 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,
2027,2009-01-01,,   11.80,-99.9,     5.6,    17.9,-99.9,     5.6,-99.9,    12.0,-99.9,    0.00,     7.2,     7.1,     9.0,    11.5,    23.9,    12.0,    12.7,    14.1,    15.2,    16.8,     0.1,     0.1,     0.1,     0.1,     0.1,    5.30,    5.20,    6.10,    7.30,   14.70,   13.42,    3.32,     258,     7.3,      50,   29.86,      65,
2027,2009-01-02,,   11.80,-99.9,     7.0,    12.2,-99.9,     2.1,-99.9,     7.0,-99.9,    0.00,     6.8,     6.9,     8.3,    11.1,    23.5,    11.3,    11.7,    12.9,    14.3,    16.6,     0.1,     0.0,     0.1,     0.1,     0.1,    5.10,    5.20,    5.80,    7.10,   14.40,   13.49,    3.32,      90,     6.1,      83,   29.78,      65,
2027,2009-01-03,,   11.80,-99.9,    17.0,    22.4,-99.9,     7.0,-99.9,    14.6,-99.9,    0.02,     6.7,     6.6,     8.4,    11.4,    23.5,    15.0,    15.2,    14.9,    14.5,    16.3,     0.1,     0.1,     0.1,     0.1,     0.1,    5.10,    5.10,    5.80,    7.20,   14.50,   13.33,    3.32,     167,     3.5,      95,   29.69,      63,
2027,2009-01-04,,   11.80,-99.9,    16.8,    21.9,-99.9,    15.7,-99.9,    18.0,-99.9,    0.00,     7.0,     6.8,     8.6,    11.5,    23.4,    15.5,    15.8,    15.8,    15.4,    16.2,     0.0,     0.1,     0.1,     0.1,     0.1,    5.20,    5.10,    5.90,    7.30,   14.30,   13.31,    3.33,     185,     2.3,      94,   29.73,      64,
2027,2009-01-05,,   11.80,-99.9,    14.9,    25.2,-99.9,    14.5,-99.9,    18.8,-99.9,    0.00,     6.4,     6.5,     8.4,    11.5,    23.4,    16.1,    16.6,    16.9,    16.1,    16.4,     0.1,     0.1,     0.1,     0.1,     0.1,    5.00,    5.00,    5.80,    7.30,   14.40,   13.30,    3.33,     193,     2.5,      94,   29.78,      64,
2027,2009-01-06,,   11.80,-99.9,    15.7,    24.5,-99.9,    12.8,-99.9,    17.4,-99.9,    0.01,-99.9,     6.4,     8.1,    11.2,    23.4,    16.5,    16.9,    17.0,    16.4,    16.6,     0.1,     0.1,     0.1,     0.1,     0.1,    5.00,    5.00,    5.70,    7.10,   14.30,   13.30,    3.33,     181,     2.1,      90,   29.62,      64,
2027,2009-01-07,,   11.80,-99.9,    21.8,    23.4,-99.9,    14.9,-99.9,    19.3,-99.9,    0.00,     6.0,     6.5,     8.0,    11.3,    23.3,    17.7,    17.8,    17.3,    16.5,    16.7,     0.1,     0.1,     0.1,     0.1,     0.1,    4.80,    5.00,    5.60,    7.20,   14.30,   13.29,    3.33,     188,     5.7,      84,   29.33,      65,
2027,2009-01-08,,   12.10,-99.9,     8.4,    22.5,-99.9,     7.2,-99.9,    15.9,-99.9,    0.23,     9.1,     6.5,     7.7,    11.2,    23.3,    13.1,    13.7,    15.6,    16.7,    17.0,     0.0,     0.1,     0.1,     0.1,     0.1,    6.10,    5.00,    5.50,    7.10,   14.30,   13.39,    3.33,     229,     6.9,      69,   29.55,      66,
2027,2009-01-09,,   12.10,-99.9,     9.9,    21.0,-99.9,     4.9,-99.9,    12.7,-99.9,    0.00,     8.2,     6.9,     7.5,    11.3,    23.2,    12.8,    13.3,    14.6,    15.5,    17.0,     0.0,     0.1,     0.1,     0.1,     0.1,    5.70,    5.20,    5.40,    7.20,   14.20,   13.39,    3.32,     240,     5.0,      61,   29.68,      65,
2027,2009-01-10,,   12.10,-99.9,     9.9,    17.5,-99.9,     4.8,-99.9,    10.4,-99.9,    0.00,     7.4,     6.6,     7.5,    11.1,    23.3,    11.8,    12.4,    13.8,    14.9,    16.7,     0.1,     0.1,     0.1,     0.1,     0.1,    5.40,    5.00,    5.40,    7.10,   14.30,   13.43,    3.32,     136,     3.0,      53,   29.87,      64,
