

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:00 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2027,2011-01-01,,    4.40,-99.9,-99.9,    23.3,-99.9,     7.2,-99.9,    15.3,-99.9,    0.00,     8.6,     8.6,-99.9,    11.0,    21.7,    12.0,    12.2,    12.2,    11.0,    12.8,     0.1,     0.1,     1.9,     0.1,     0.1,    5.90,    5.92,   -1.51,    7.03,   13.19,-99.9,    3.32,     127,     5.2,-99.9,-99.9,      53,-99.9,
2027,2011-01-02,,    4.90,-99.9,-99.9,    22.9,-99.9,    13.3,-99.9,    17.2,-99.9,    0.58,    14.9,    12.2,-99.9,    11.0,    21.7,    14.2,    14.1,    13.7,    12.1,    13.0,     0.0,     0.1,     4.4,     0.1,     0.1,    9.06,    7.63,   -1.03,    7.04,   13.19,-99.9,    3.32,     164,     6.5,-99.9,-99.9,      54,-99.9,
2027,2011-01-03,,    5.00,-99.9,     5.8,    18.3,-99.9,     5.8,-99.9,    14.8,-99.9,    0.06,    12.5,    11.2,-99.9,    11.4,    21.8,    10.4,    11.0,    13.2,    13.2,    13.6,     0.0,     0.1,     2.2,     0.1,     0.1,    7.76,    7.13,   -1.05,    7.22,   13.24,   13.37,    3.32,     258,     5.1,      54,   29.86,      55,-99.9,
2027,2011-01-04,,    5.00,-99.9,     1.8,    13.7,-99.9,    -0.3,-99.9,     5.4,-99.9,    0.00,    11.2,    10.7,-99.9,    12.0,    22.0,     8.6,     9.1,    11.2,    12.1,    13.9,     0.0,     0.1,     0.6,     0.1,     0.1,    7.11,    6.88,   -3.48,    7.51,   13.39,   13.48,    3.31,     135,     2.9,      95,   29.83,      54,-99.9,
2027,2011-01-05,,    5.00,-99.9,     4.6,    15.2,-99.9,     1.8,-99.9,     7.7,-99.9,    0.00,    11.2,    10.2,-99.9,    12.0,    21.8,     8.7,     9.1,    11.0,    11.6,    13.8,     0.0,     0.1,     1.8,     0.1,     0.2,    7.10,    6.65,   -1.03,    7.53,   13.26,   13.47,    3.31,     195,     1.7,      88,   29.74,      55,-99.9,
2027,2011-01-06,,    5.60,-99.9,    10.3,    10.4,-99.9,     3.5,-99.9,     7.6,-99.9,    0.56,    13.4,    12.0,-99.9,    13.1,    22.1,     9.6,     9.7,    10.5,    11.0,    13.6,     0.0,     0.1,     5.2,     0.1,     0.1,    8.27,    7.50,   -0.92,    8.07,   13.44,   13.46,    3.31,     165,     2.7,      97,   29.43,      55,-99.9,
2027,2011-01-07,,-99.9,-99.9,     6.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    11.7,    11.0,-99.9,    13.5,-99.9,     8.7,     9.2,    11.0,    11.6,-99.9,     0.0,     0.1,    19.2,     0.1,-99.9,    7.39,    7.01,   -0.10,    8.30,-99.9,   13.46,-99.9,-99.9,-99.9,      70,   29.42,-99.9,-99.9,
2027,2011-01-08,,    5.60,-99.9,    12.1,    16.2,-99.9,     1.4,-99.9,     9.6,-99.9,    0.00,    11.2,    10.5,-99.9,    13.2,    22.9,     9.2,     9.5,    10.8,    11.2,    13.5,     0.0,     0.1,     0.7,     0.1,     0.2,    7.11,    6.79,   -3.47,    8.12,   14.00,   13.43,    3.32,     244,     5.5,      59,   29.23,      54,-99.9,
2027,2011-01-09,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    23.2,-99.9,-99.9,-99.9,-99.9,    13.4,-99.9,-99.9,-99.9,-99.9,     0.1,-99.9,-99.9,-99.9,-99.9,   14.22,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2027,2011-01-10,,    5.60,-99.9,-99.9,     5.0,-99.9,    -1.4,-99.9,     2.5,-99.9,    0.00,-99.9,-99.9,-99.9,-99.9,    23.1,-99.9,-99.9,-99.9,-99.9,    13.3,-99.9,-99.9,-99.9,-99.9,     0.1,-99.9,-99.9,-99.9,-99.9,   14.16,-99.9,    3.31,      72,     6.7,-99.9,-99.9,      55,-99.9,
