

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:06 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2027,2014-01-01,,    4.58,     8.7,    11.6,     8.5,    10.5,    0.00,    11.5,    11.7,    14.6,    14.8,    25.8,     9.7,     9.7,    11.9,    11.7,    14.4,     0.0,     0.1,     0.1,     0.1,     0.1,    7.26,    7.35,    8.88,    8.98,   16.11,   12.84,    3.31,     359,     3.6,      84,-99.9,      55,   89.14,
2027,2014-01-02,,    4.58,    11.4,    11.6,     7.5,     9.7,    0.00,    11.8,    12.0,    14.8,    14.1,    24.9,    11.0,    10.7,    12.0,    11.4,    14.2,     0.0,     0.1,     0.1,     0.1,     0.2,    7.42,    7.51,    9.00,    8.64,   15.43,   12.85,    3.31,      96,     2.5,      98,-99.9,      53,   69.54,
2027,2014-01-03,,    4.58,     4.1,    15.0,     4.1,    11.7,    0.00,    13.1,    13.3,    17.5,    16.2,    25.2,     7.3,     7.9,    11.8,    11.7,    14.2,     0.0,     0.1,     0.1,     0.1,     0.2,    8.11,    8.19,   10.55,    9.78,   15.61,   12.80,    3.31,      24,     5.9,      62,-99.9,      51,   40.78,
2027,2014-01-04,,    4.58,    -0.7,     5.4,    -2.1,     1.1,    0.00,    11.6,    12.1,    15.7,    15.4,    25.5,     3.6,     4.2,     8.0,     9.8,    14.1,     0.0,     0.1,     0.1,     0.1,     0.2,    7.32,    7.57,    9.48,    9.34,   15.84,   12.91,    3.30,      26,     8.8,      77,-99.9,      57,  335.96,
2027,2014-01-05,,    4.58,     8.1,    11.8,    -0.8,     5.4,    0.00,    10.7,    11.6,    14.0,    15.0,    25.6,     8.0,     8.0,     9.6,     9.3,    13.5,     0.1,     0.1,     0.1,     0.1,     0.1,    6.90,    7.31,    8.58,    9.09,   15.93,   12.86,    3.30,      85,     4.6,      83,-99.9,      52,  263.91,
2027,2014-01-06,,    4.58,    15.8,    15.8,     6.8,    11.0,    0.00,    11.1,    11.5,    13.9,    14.6,    25.5,    11.8,    11.4,    11.9,    10.1,    13.1,     0.0,     0.0,     0.1,     0.1,     0.2,    7.10,    7.29,    8.50,    8.87,   15.86,   12.85,    3.31,     126,     3.9,      96,-99.9,      48,  162.79,
2027,2014-01-07,,    4.58,    -3.6,    17.2,    -3.6,     5.7,    0.00,    10.4,    11.1,    14.6,    14.2,    24.9,     3.1,     3.5,     8.2,    10.1,    13.3,     0.1,     0.1,     0.1,     0.1,     0.2,    6.75,    7.06,    8.88,    8.67,   15.43,   12.85,    3.31,     327,    11.8,      40,-99.9,      55,  235.41,
2027,2014-01-08,,    4.58,    -4.1,    -1.5,    -8.1,    -4.8,    0.00,    10.0,    10.8,    13.9,    13.6,    24.7,     2.1,     2.4,     5.8,     8.0,    13.0,     0.0,     0.1,     0.1,     0.1,     0.2,    6.54,    6.91,    8.50,    8.33,   15.29,   12.80,    3.31,       8,     6.4,      72,-99.9,      57,  282.95,
2027,2014-01-09,,    4.58,     6.5,     8.4,    -5.4,     1.5,    0.00,    10.0,    10.7,    14.0,    13.0,    24.9,     6.0,     6.0,     7.5,     7.5,    12.4,     0.0,     0.1,     0.1,     0.1,     0.2,    6.56,    6.86,    8.55,    8.02,   15.44,   12.81,    3.31,      80,     3.3,      37,-99.9,      50,  341.09,
2027,2014-01-10,,    4.58,    12.4,    14.7,     6.1,    10.2,    0.00,     9.9,    10.6,    12.3,    13.2,    24.8,     9.8,     9.6,    10.1,     8.5,    12.1,     0.0,     0.1,     0.1,     0.1,     0.2,    6.49,    6.82,    7.68,    8.16,   15.32,   12.77,    3.31,      84,     4.7,      97,-99.9,      46,  136.34,
