

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:11 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2027,2017-01-01,,   10.24,     9.9,    11.0,     0.8,     6.8,   0.000,    11.1,    10.3,    11.9,    10.4,    25.1,    10.4,     9.9,    12.7,    12.6,    14.4,     0.0,     0.1,     0.1,     0.1,     0.1,    7.06,    6.68,    7.46,    6.76,   15.56,   12.84,    3.15,     138,     2.0,      82,      57,   60.15,
2027,2017-01-02,,   11.56,    18.6,    20.5,     9.5,    15.0,   1.320,    18.0,    16.5,    18.8,    13.9,    25.1,    15.5,    14.6,    15.5,    13.2,    13.9,     0.0,     0.1,     0.1,     0.1,     0.1,   10.83,    9.98,   11.31,    8.49,   15.55,   12.95,    3.17,     144,     3.8,      95,      56,   66.66,
2027,2017-01-03,,   12.02,    17.9,    25.0,    17.6,    20.4,   0.460,    17.9,    16.3,    18.9,    13.9,    26.8,    17.6,    16.9,    18.0,    14.9,    13.9,     0.0,     0.1,     0.1,     0.1,     0.1,   10.80,    9.84,   11.39,    8.50,   16.84,   12.94,    3.19,     179,     3.3,      89,      57,  117.81,
2027,2017-01-04,,   12.32,    12.6,    22.8,    12.6,    18.3,   0.300,    14.6,    13.8,    16.1,    14.6,    26.5,    14.8,    14.7,    17.7,    15.7,    14.1,     0.1,     0.1,     0.1,     0.1,     0.2,    8.90,    8.47,    9.71,    8.91,   16.60,   12.91,    3.19,     217,     3.8,      96,      58,  135.25,
2027,2017-01-05,,   12.32,    10.0,    17.7,    10.0,    13.3,   0.000,    13.4,    13.1,    14.9,    13.1,    26.4,    12.0,    12.0,    15.6,    14.8,    14.3,     0.1,     0.1,     0.1,     0.1,     0.2,    8.23,    8.09,    9.07,    8.07,   16.54,   12.91,    3.18,     325,     4.7,      64,      58,  136.27,
2027,2017-01-06,,   12.32,    11.7,    17.4,     4.2,    11.0,   0.000,    13.4,    12.5,    13.7,    12.5,    26.5,    12.2,    12.0,    14.9,    14.0,    14.2,     0.0,     0.1,     0.1,     0.1,     0.1,    8.25,    7.78,    8.42,    7.79,   16.59,   12.90,    3.18,     219,     2.8,      79,      58,  216.24,
2027,2017-01-07,,   12.73,     6.5,    17.6,     6.2,    10.7,   0.410,    16.2,    14.8,    15.0,    12.4,    26.3,    10.6,    10.4,    14.2,    13.7,    14.1,     0.0,     0.1,     0.1,     0.1,     0.1,    9.76,    9.00,    9.14,    7.72,   16.44,   12.87,    3.18,      33,     4.4,      95,      59,  101.49,
2027,2017-01-08,,   12.81,    -1.5,     6.5,    -1.5,     2.8,   0.080,    14.0,    13.5,    15.2,    12.9,    25.9,     4.6,     4.9,    10.5,    12.0,    13.9,     0.1,     0.1,     0.1,     0.1,     0.1,    8.58,    8.27,    9.22,    7.98,   16.17,   12.86,    3.17,     338,    11.1,      62,      61,  163.30,
2027,2017-01-09,,   12.81,    -1.1,     6.5,    -4.2,    -0.2,   0.000,    13.8,    12.6,    13.9,    12.0,    25.7,     4.5,     4.6,     9.1,    10.3,    13.3,     0.0,     0.1,     0.1,     0.1,     0.2,    8.43,    7.84,    8.50,    7.51,   16.02,   12.86,    3.14,     357,     5.8,      79,      60,  254.80,
2027,2017-01-10,,   12.81,     3.2,    10.8,    -2.9,     2.9,   0.000,    12.7,    12.2,    14.0,    11.9,    25.5,     5.6,     5.6,     9.4,     9.8,    12.6,     0.1,     0.1,     0.1,     0.1,     0.1,    7.88,    7.62,    8.54,    7.47,   15.87,   12.88,    3.13,      79,     2.5,      72,      59,  241.03,
2027,2017-01-11,,   12.81,    12.9,    17.8,     0.6,     8.7,   0.000,    13.1,    12.0,    13.9,    11.9,    25.5,     8.9,     8.6,    11.3,    10.2,    12.1,     0.0,     0.1,     0.1,     0.1,     0.1,    8.07,    7.54,    8.49,    7.45,   15.88,   12.91,    3.15,     124,     3.2,      66,      58,  222.05,
2027,2017-01-12,,   12.81,     9.9,    23.0,     8.7,    15.0,   0.000,    12.5,    11.9,    12.5,    11.6,    25.8,    11.2,    11.0,    13.3,    11.5,    12.0,     0.0,     0.1,     0.1,     0.1,     0.1,    7.78,    7.49,    7.79,    7.30,   16.10,   12.92,    3.17,     170,     2.6,      90,      57,  224.50,
2027,2017-01-13,,   12.81,    11.4,    25.1,     8.9,    15.6,   0.000,    12.6,    11.8,    13.5,    11.8,    25.6,    12.7,    12.5,    14.7,    12.4,    12.1,     0.0,     0.1,     0.1,     0.1,     0.1,    7.81,    7.45,    8.31,    7.44,   15.93,   12.90,    3.18,     145,     1.7,      95,      58,  225.01,
2027,2017-01-14,,   12.81,    11.2,    25.5,     7.6,    15.5,   0.000,    11.9,    11.7,    13.4,    11.8,    25.4,    13.2,    13.0,    15.4,    13.1,    12.3,     0.1,     0.1,     0.1,     0.1,     0.1,    7.48,    7.36,    8.27,    7.42,   15.79,   12.90,    3.18,      55,     1.4,      95,      58,  229.40,
2027,2017-01-15,,   12.81,    11.7,    25.8,     8.2,    15.8,   0.000,    12.3,    11.4,    11.8,    10.9,    24.8,    13.7,    13.5,    15.9,    13.6,    12.5,     0.0,     0.1,     0.1,     0.1,     0.2,    7.66,    7.24,    7.44,    6.97,   15.36,   12.91,    3.18,      81,     1.1,      94,      58,  223.48,
2027,2017-01-16,,   12.81,    18.0,    24.4,    10.9,    16.2,   0.000,    11.7,    11.4,    12.6,    11.2,    25.6,    15.0,    14.5,    16.4,    14.0,    12.7,     0.1,     0.1,     0.1,     0.1,     0.1,    7.35,    7.22,    7.83,    7.11,   15.94,   12.92,    3.18,      55,     1.3,      80,      58,  175.64,
