

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:15 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-1:-40 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-1:-40 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2027,2020-01-01,,    9.42,     5.4,    16.4,     5.1,    10.1,   0.000,    12.4,    12.8,    16.0,    13.0,-99.9,    26.9,    12.0,    10.7,    14.1,    13.9,-99.9,    10.9,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.74,    7.91,    9.68,    8.05,-99.9,   16.93,   12.81,    3.21,     261,     3.1,      90,      65,  227.97,
2027,2020-01-02,,    9.42,     8.0,    16.8,     2.6,     8.9,   0.000,    12.2,    12.5,    15.9,    12.8,-99.9,    27.5,    12.4,    10.8,    13.4,    12.8,-99.9,    10.7,     0.1,     0.1,     0.1,     0.1,-99.9,     0.1,    7.64,    7.78,    9.60,    7.93,-99.9,   17.38,   12.82,    3.19,     279,     1.8,      92,      64,  193.09,
2027,2020-01-03,,    9.44,    21.4,    23.5,     8.0,    16.1,   0.020,    12.2,    12.6,    15.6,    13.0,-99.9,    27.0,    15.7,    13.9,    15.1,    13.1,-99.9,    10.4,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.64,    7.83,    9.47,    8.03,-99.9,   16.93,   12.87,    3.21,     157,     3.9,     100,      62,  155.55,
2027,2020-01-04,,    9.82,    19.3,    26.6,    19.3,    23.6,   0.380,    19.5,    16.6,    15.3,    12.8,-99.9,    27.2,    18.6,    17.0,    17.9,    14.6,-99.9,    10.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,   11.76,   10.04,    9.27,    7.95,-99.9,   17.09,   12.85,    3.26,     187,     4.7,     100,      64,   99.76,
2027,2020-01-05,,   10.29,     9.0,    20.7,     9.0,    16.4,   0.470,    16.2,    15.1,    19.3,    15.4,-99.9,    27.5,    14.4,    12.6,    16.0,    15.1,-99.9,    10.8,     0.1,     0.1,     0.1,     0.1,-99.9,     0.1,    9.81,    9.16,   11.66,    9.35,-99.9,   17.31,   12.81,    3.26,     296,     6.7,      54,      66,  169.32,
2027,2020-01-06,,   10.29,     4.2,    14.2,     3.0,     7.6,   0.000,    14.3,    14.3,    18.2,    14.4,-99.9,    27.7,    11.6,    10.1,    13.5,    13.4,-99.9,    10.9,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    8.75,    8.74,   10.95,    8.80,-99.9,   17.48,   12.82,    3.22,     305,     4.5,     100,      65,  233.48,
2027,2020-01-07,,   10.29,     8.4,    20.2,     2.6,    10.3,   0.000,    13.9,    13.8,    17.1,    14.0,-99.9,    27.5,    12.0,    10.6,    13.4,    12.7,-99.9,    10.6,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    8.54,    8.45,   10.28,    8.58,-99.9,   17.37,   12.82,    3.19,     253,     1.7,     100,      64,  222.16,
2027,2020-01-08,,   10.29,     8.6,    18.6,     5.8,    11.6,   0.000,    13.5,    13.5,    17.2,    14.0,-99.9,    27.9,    11.7,    10.1,    12.9,    12.4,-99.9,    10.3,     0.1,     0.1,     0.1,     0.1,-99.9,     0.1,    8.32,    8.30,   10.37,    8.58,-99.9,   17.65,   12.82,    3.21,     274,     3.8,      58,      64,  192.58,
2027,2020-01-09,,   10.29,     3.6,    17.4,     1.1,     8.5,   0.000,    12.2,    12.9,    16.4,    13.5,-99.9,    27.0,    10.3,     9.1,    12.1,    11.8,-99.9,    10.1,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.64,    8.00,    9.90,    8.30,-99.9,   16.93,   12.80,    3.21,      12,     2.6,     100,      64,  235.62,
2027,2020-01-10,,   10.29,    16.1,    21.8,     1.8,    12.4,   0.000,    12.4,    12.9,    16.2,    13.4,-99.9,    27.1,    13.2,    11.6,    13.2,    11.6,-99.9,     9.8,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.72,    7.97,    9.78,    8.23,-99.9,   17.05,   12.86,    3.19,      93,     4.1,      85,      63,  209.10,
2027,2020-01-11,,   10.29,    19.3,    24.8,    14.0,    19.3,   0.000,    11.5,    12.8,    15.6,    13.2,-99.9,    27.1,    15.5,    13.9,    15.1,    12.7,-99.9,     9.7,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.27,    7.91,    9.47,    8.15,-99.9,   17.08,   12.87,    3.24,     116,     6.4,      92,      63,  169.52,
2027,2020-01-12,,   10.81,    20.4,    25.4,    18.5,    21.9,   0.520,    22.3,    17.4,    15.8,    13.1,-99.9,    27.1,    17.7,    16.0,    16.9,    13.8,-99.9,     9.9,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,   13.62,   10.50,    9.55,    8.06,-99.9,   17.07,   12.86,    3.25,     168,     7.5,     100,      64,   59.89,
2027,2020-01-13,,   11.43,    19.8,    23.4,    17.1,    19.1,   0.620,    17.3,    16.0,    19.3,    16.4,-99.9,    28.2,    17.3,    15.6,    17.2,    14.6,-99.9,    10.2,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,   10.43,    9.65,   11.67,    9.89,-99.9,   17.88,   12.86,    3.26,     234,     1.4,     100,      65,   62.19,
2027,2020-01-14,,   11.43,    19.2,    25.4,    19.1,    21.5,   0.000,    15.5,    15.3,    18.5,    15.5,-99.9,    27.9,    18.3,    16.7,    18.2,    15.4,-99.9,    10.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    9.38,    9.30,   11.18,    9.39,-99.9,   17.64,   12.88,    3.25,     148,     2.5,     100,      65,  103.53,
2027,2020-01-15,,   11.54,    19.9,    25.8,    16.4,    20.7,   0.110,    16.1,    15.3,    18.1,    15.0,-99.9,    27.9,    19.0,    17.3,    18.7,    15.7,-99.9,    10.8,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    9.75,    9.27,   10.91,    9.13,-99.9,   17.64,   12.86,    3.25,     132,     2.0,     100,      65,  142.49,
2027,2020-01-16,,   11.55,    18.4,    25.7,    18.4,    20.8,   0.010,    14.9,    14.8,    17.8,    14.7,-99.9,    27.9,    18.8,    17.2,    19.0,    16.3,-99.9,    11.1,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    9.08,    9.02,   10.74,    8.97,-99.9,   17.62,   12.84,    3.26,     257,     2.3,     100,      66,  149.33,
2027,2020-01-17,,   11.55,    15.6,    23.2,    15.6,    19.8,   0.000,    14.2,    14.1,    17.3,    14.4,-99.9,    27.7,    17.3,    15.6,    18.2,    16.3,-99.9,    11.4,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    8.66,    8.61,   10.45,    8.79,-99.9,   17.52,   12.85,    3.25,     315,     4.5,      54,      66,  116.99,
2027,2020-01-18,,   11.55,     8.8,    17.4,     8.8,    13.8,   0.000,    12.6,    13.4,    17.2,    14.0,-99.9,    28.0,    14.4,    12.8,    15.9,    15.2,-99.9,    11.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.1,    7.81,    8.24,   10.38,    8.58,-99.9,   17.74,   12.83,    3.24,      76,     7.0,      80,      66,  231.44,
2027,2020-01-19,,   11.55,    17.9,    22.1,     7.3,    14.6,   0.000,    12.0,    13.1,    16.4,    13.9,-99.9,    27.8,    16.2,    14.6,    16.3,    14.5,-99.9,    11.4,     0.1,     0.1,     0.1,     0.1,-99.9,     0.1,    7.54,    8.07,    9.92,    8.52,-99.9,   17.59,   12.86,    3.22,     128,     4.6,      86,      65,  179.42,
2027,2020-01-20,,   11.57,     6.6,    19.4,     6.6,    13.8,   0.020,    12.0,    12.7,    16.3,    13.4,-99.9,    27.0,    13.0,    11.2,    14.7,    14.5,-99.9,    11.2,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.52,    7.90,    9.86,    8.24,-99.9,   17.00,   12.81,    3.25,     294,     6.6,      49,      67,   99.55,
2027,2020-01-21,,   11.57,     2.7,     8.9,     1.0,     4.9,   0.000,    11.8,    12.3,    15.6,    13.1,-99.9,    27.1,    11.0,     9.2,    12.6,    12.9,-99.9,    11.0,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.42,    7.69,    9.45,    8.08,-99.9,   17.06,   12.80,    3.20,     348,     7.4,      65,      66,  257.24,
2027,2020-01-22,,   11.57,     1.1,     6.7,    -1.5,     2.4,   0.000,    10.9,    11.8,    15.6,    12.9,-99.9,    27.1,     9.2,     7.6,    11.1,    11.7,-99.9,    10.6,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    6.98,    7.43,    9.46,    7.96,-99.9,   17.07,   12.80,    3.18,     360,     7.0,      67,      67,  254.80,
2027,2020-01-23,,   11.57,     7.7,    12.8,    -1.3,     5.4,   0.000,    10.8,    11.8,    15.2,    12.5,-99.9,    27.1,    10.1,     8.5,    11.2,    10.9,-99.9,    10.1,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    6.95,    7.41,    9.21,    7.78,-99.9,   17.02,   12.84,    3.16,      19,     5.4,      45,      64,  235.52,
2027,2020-01-24,,   11.57,    11.6,    14.0,     6.6,     9.8,   0.000,    10.2,    11.7,    14.9,    12.5,-99.9,    26.9,    11.8,    10.2,    12.1,    11.2,-99.9,     9.7,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    6.64,    7.36,    9.03,    7.76,-99.9,   16.86,   12.85,    3.21,      75,     5.1,     100,      64,  127.09,
2027,2020-01-25,,   11.61,     9.4,    21.7,     9.4,    15.1,   0.040,    11.0,    11.8,    15.0,    12.6,-99.9,    27.0,    13.1,    11.7,    14.0,    12.1,-99.9,     9.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    7.02,    7.44,    9.11,    7.84,-99.9,   17.00,   12.85,    3.23,     181,     4.0,     100,      64,  113.42,
2027,2020-01-26,,   11.61,     5.9,    14.3,     5.3,     8.8,   0.000,    10.6,    11.3,    14.9,    12.6,-99.9,    26.8,    11.3,     9.9,    12.6,    11.9,-99.9,     9.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    6.83,    7.19,    9.08,    7.85,-99.9,   16.79,   12.82,    3.23,     290,     4.0,     100,      66,  261.32,
2027,2020-01-27,,   11.61,    10.5,    15.5,     3.2,     9.5,   0.000,     9.9,    11.0,    14.7,    12.1,-99.9,    26.6,    12.3,    10.7,    12.7,    11.6,-99.9,     9.5,     0.1,     0.1,     0.1,     0.1,-99.9,     0.2,    6.51,    7.01,    8.92,    7.58,-99.9,   16.69,   12.76,    3.20,     297,     2.8,      78,      64,  177.99,
